Name,Color,Rarity,Level,Cost,Type,AP,HP,Zone,Trait,Link,Skill,Source,Card #,Edition
Freedom Gundam,White,LR +,7,5,UNIT,4,6,Space Earth,(Triple Ship Alliance),[Kira Yamato],"<Blocker> (Rest this Unit to change the attack target to it.) 【During Pair】【Once per Turn】When you pair a Pilot with this Unit or one of your white Units, choose 1 enemy Unit. It gets AP-2 during this turn.",GD01,65,1
Justice Gundam,White,LR,7,5,UNIT,5,5,Space Earth,(Triple Ship Alliance),[Athrun Zala],【Deploy】Deploy 1 [Fatum-00]((Triple Ship Alliance)･AP2･HP2･<Blocker>) Unit token. 【During Pair】【Attack】Choose 1 of your (Triple Ship Alliance) Unit tokens. It may attack on the turn it is deployed.,GD01,66,1
Justice Gundam,White,LR +,7,5,UNIT,5,5,Space Earth,(Triple Ship Alliance),[Athrun Zala],【Deploy】Deploy 1 [Fatum-00]((Triple Ship Alliance)･AP2･HP2･<Blocker>) Unit token. 【During Pair】【Attack】Choose 1 of your (Triple Ship Alliance) Unit tokens. It may attack on the turn it is deployed.,GD01,66,1
Gundam Aerial Rebuild,White,LR,6,5,UNIT,5,4,Space Earth,(Academy),[Suletta Mercury],【When Paired】Choose 1 Command card that is Lv.5 or lower from your trash. Add it to your hand.,GD01,67,1
Gundam Aerial Rebuild,White,LR +,6,5,UNIT,5,4,Space Earth,(Academy),[Suletta Mercury],【When Paired】Choose 1 Command card that is Lv.5 or lower from your trash. Add it to your hand.,GD01,67,1
Gundam Aerial Rebuild,White,LR ++,6,5,UNIT,5,4,Space Earth,(Academy),[Suletta Mercury],【When Paired】Choose 1 Command card that is Lv.5 or lower from your trash. Add it to your hand.,GD01,67,1
Perfect Strike Gundam,White,R,5,3,UNIT,4,4,Space Earth,(Triple Ship Alliance),(Earth Alliance) Trait,<Blocker> (Rest this Unit to change the attack target to it.) 【Deploy】Choose 1 enemy Unit with 1 HP. Return it to its owner's hand.,GD01,68,1
Strike Rouge,White,R,3,2,UNIT,3,2,Space Earth,(Triple Ship Alliance),(Orb) Trait,【Activate･Main】【Once per Turn】①：Choose 1 of your rested white Units with <Blocker>. Set it as active. It can't attack during this turn.,GD01,69,1
Strike Rouge,White,R +,3,2,UNIT,3,2,Space Earth,(Triple Ship Alliance),(Orb) Trait,【Activate･Main】【Once per Turn】①：Choose 1 of your rested white Units with <Blocker>. Set it as active. It can't attack during this turn.,GD01,69,1
Gundam Aerial,White,R,5,3,UNIT,3,3,Space Earth,(Academy),[Suletta Mercury],"While there are 4 or more Command cards in your trash, this card in your hand gets cost -2.",GD01,70,1
Gundam Pharact,White,R,4,3,UNIT,3,4,Space Earth,(Academy),(Academy) Trait,【During Link】【Attack】Choose 1 enemy Unit. It gets AP-2 during this battle.,GD01,71,1
Gundam Pharact,White,R +,4,3,UNIT,3,4,Space Earth,(Academy),(Academy) Trait,【During Link】【Attack】Choose 1 enemy Unit. It gets AP-2 during this battle.,GD01,71,1
Launcher Strike Gundam,White,U,4,3,UNIT,3,4,Space Earth,(Earth Alliance),(Earth Alliance) Trait,<Blocker> (Rest this Unit to change the attack target to it.),GD01,72,1
Sword Strike Gundam,White,U,4,3,UNIT,4,3,Space Earth,(Earth Alliance),(Earth Alliance) Trait,【During Link】【Attack】Choose 1 enemy Unit with 2 or less HP. Return it to its owner's hand.,GD01,73,1
Chuchu's Demi Trainer,White,R,2,2,UNIT,3,1,Space Earth,(Academy),[Chuatury Panlunch],"【Attack】Draw 1. Then, discard 1.",GD01,74,1
Darilbalde,White,U,3,2,UNIT,4,2,Space Earth,(Academy),(Academy) Trait,【Deploy】Choose 1 enemy Unit with 1 HP. Return it to its owner's hand.,GD01,75,1
Michaelis,White,U,3,2,UNIT,3,3,Space Earth,(Academy),(Academy) Trait,"While there are 4 or more Command cards in your trash, this Unit gets AP+1 and HP+1.",GD01,76,1
Strike Gundam,White,C,4,2,UNIT,3,4,Space Earth,(Earth Alliance),[Kira Yamato],-,GD01,77,1
Mistral,White,C,1,1,UNIT,1,1,Space,(Earth Alliance),-,【Deploy】Choose 1 enemy Unit. It gets AP-1 during this turn.,GD01,78,1
Skygrasper,White,C,2,2,UNIT,2,2,Earth,(Earth Alliance),(Earth Alliance) Trait,-,GD01,79,1
Cagalli's Skygrasper,White,C,2,2,UNIT,2,1,Earth,(Earth Alliance),[Cagalli Yula Athha],【Destroyed】Choose 1 enemy Unit that is Lv.2 or lower. Return it to its owner's hand.,GD01,80,1
M1 Astray,White,C,2,2,UNIT,2,2,Space Earth,(Triple Ship Alliance),-,"While you have another (Triple Ship Alliance) Unit in play, this Unit gets AP+1 and <Blocker>. (Rest this Unit to change the attack target to it.)",GD01,81,1
Gundam Aerial (Mirasoul Flight Unit),White,U,4,3,UNIT,4,3,Space Earth,(Academy),[Suletta Mercury],【During Pair】【Activate･Action】【Once per Turn】②：Choose 1 enemy Unit. It gets AP-1 during this battle.,GD01,82,1
Guel's Dilanza,White,C,2,2,UNIT,2,2,Space Earth,(Academy),(Academy) Trait,-,GD01,83,1
Beguir-Pente,White,C,2,2,UNIT,2,3,Space Earth,(Academy),-,-,GD01,84,1
Demi Garrison,White,C,2,1,UNIT,2,2,Space Earth,(Academy),-,-,GD01,85,1
Gundam Lfrith,White,C,3,2,UNIT,2,4,Space Earth,(Vanadis Institute),-,<Blocker> (Rest this Unit to change the attack target to it.),GD01,86,1
Gundam,Blue,LR,4,3,UNIT,3,4,Space Earth,(Earth Federation) (White Base Team),[Amuro Ray],"<Repair 2> (At the end of your turn, this Unit recovers the specified number of HP.) 【During Pair】During your turn, all your Units get AP+1.",ST01,1,1
Gundam,Blue,LR +,4,3,UNIT,3,4,Space Earth,(Earth Federation) (White Base Team),[Amuro Ray],"<Repair 2> (At the end of your turn, this Unit recovers the specified number of HP.) 【During Pair】During your turn, all your Units get AP+1.",ST01,1,1
Gundam (MA Form),Blue,C,5,3,UNIT,4,3,Space,(Earth Federation) (White Base Team),[Amuro Ray],【When Paired･(White Base Team) Pilot】Draw 1.,ST01,2,1
Gundam (MA Form),Blue,C +,5,3,UNIT,4,3,Space,(Earth Federation) (White Base Team),[Amuro Ray],【When Paired･(White Base Team) Pilot】Draw 1.,ST01,2,1
Guncannon,Blue,C,3,2,UNIT,2,4,Space Earth,(Earth Federation) (White Base Team),[Kai Shiden],-,ST01,3,1
Guncannon,Blue,C +,3,2,UNIT,2,4,Space Earth,(Earth Federation) (White Base Team),[Kai Shiden],-,ST01,3,1
Guntank,Blue,C,3,2,UNIT,2,3,Space Earth,(Earth Federation) (White Base Team),[Hayato Kobayashi],【Deploy】Choose 1 enemy Unit with 2 or less HP. Rest it.,ST01,4,1
Guntank,Blue,C +,3,2,UNIT,2,3,Space Earth,(Earth Federation) (White Base Team),[Hayato Kobayashi],【Deploy】Choose 1 enemy Unit with 2 or less HP. Rest it.,ST01,4,1
GM,Blue,C,2,1,UNIT,2,2,Space Earth,(Earth Federation),-,-,ST01,5,1
GM,Blue,C +,2,1,UNIT,2,2,Space Earth,(Earth Federation),-,-,ST01,5,1
Gundam Aerial (Permet Score Six),White,LR,5,4,UNIT,4,4,Space Earth,(Academy),[Suletta Mercury],【When Paired】Choose 1 enemy Unit that is Lv.5 or lower. It gets AP-3 during this turn.,ST01,6,1
Gundam Aerial (Permet Score Six),White,LR +,5,4,UNIT,4,4,Space Earth,(Academy),[Suletta Mercury],【When Paired】Choose 1 enemy Unit that is Lv.5 or lower. It gets AP-3 during this turn.,ST01,6,1
Gundam Aerial (Bit on Form),White,C,4,2,UNIT,3,4,Space Earth,(Academy),[Suletta Mercury],-,ST01,7,1
Gundam Aerial (Bit on Form),White,C +,4,2,UNIT,3,4,Space Earth,(Academy),[Suletta Mercury],-,ST01,7,1
Demi Trainer,White,C,1,1,UNIT,1,1,Space Earth,(Academy),-,<Blocker> (Rest this Unit to change the attack target to it.),ST01,8,1
Demi Trainer,White,C +,1,1,UNIT,1,1,Space Earth,(Academy),-,<Blocker> (Rest this Unit to change the attack target to it.),ST01,8,1
Zowort,White,C,2,2,UNIT,3,2,Space Earth,(Academy),-,<Blocker> (Rest this Unit to change the attack target to it.) This Unit can't choose the enemy player as its attack target.,ST01,9,1
Zowort,White,C +,2,2,UNIT,3,2,Space Earth,(Academy),-,<Blocker> (Rest this Unit to change the attack target to it.) This Unit can't choose the enemy player as its attack target.,ST01,9,1
Wing Gundam,Green,LR,6,4,UNIT,4,5,Space Earth,(Operation Meteor),[Heero Yuy],"<Breach 5> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.) This Unit may choose an active enemy Unit that is Lv.4 or lower as its attack target.",ST02,1,1
Wing Gundam,Green,LR +,6,4,UNIT,4,5,Space Earth,(Operation Meteor),[Heero Yuy],"<Breach 5> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to a card in that opponent's shield area.) This Unit may choose an active enemy Unit that is Lv.4 or lower as its attack target.",ST02,1,1
Wing Gundam (Bird Mode),Green,C,3,3,UNIT,2,2,Space Earth,(Operation Meteor),[Heero Yuy],【Deploy】Place 1 EX Resource.,ST02,2,1
Wing Gundam (Bird Mode),Green,C +,3,3,UNIT,2,2,Space Earth,(Operation Meteor),[Heero Yuy],【Deploy】Place 1 EX Resource.,ST02,2,1
Gundam Heavyarms,Green,C,5,3,UNIT,3,4,Earth,(Operation Meteor),[Trowa Barton],"【During Pair】During your turn, when this Unit destroys an enemy Unit with battle damage, deal 1 damage to all enemy Units that are Lv.3 or lower.",ST02,3,1
Gundam Heavyarms,Green,C +,5,3,UNIT,3,4,Earth,(Operation Meteor),[Trowa Barton],"【During Pair】During your turn, when this Unit destroys an enemy Unit with battle damage, deal 1 damage to all enemy Units that are Lv.3 or lower.",ST02,3,1
Gundam Sandrock,Green,C,4,2,UNIT,4,3,Earth,(Operation Meteor),[Quatre Raberba Winner],-,ST02,4,1
Gundam Sandrock,Green,C +,4,2,UNIT,4,3,Earth,(Operation Meteor),[Quatre Raberba Winner],-,ST02,4,1
Maganac,Green,C,2,2,UNIT,3,2,Space Earth,(Maganac Corps),-,-,ST02,5,1
Maganac,Green,C +,2,2,UNIT,3,2,Space Earth,(Maganac Corps),-,-,ST02,5,1
Tallgeese,Blue,LR,5,4,UNIT,4,4,Space Earth,(OZ),[Zechs Merquise],【Activate･Main】【Once per Turn】④：Set this Unit as active.,ST02,6,1
Tallgeese,Blue,LR +,5,4,UNIT,4,4,Space Earth,(OZ),[Zechs Merquise],【Activate･Main】【Once per Turn】④：Set this Unit as active.,ST02,6,1
Leo,Blue,C,2,2,UNIT,2,2,Space Earth,(OZ),(OZ) Trait,-,ST02,7,1
Leo,Blue,C +,2,2,UNIT,2,2,Space Earth,(OZ),(OZ) Trait,-,ST02,7,1
Aries,Blue,C,2,2,UNIT,2,1,Earth,(OZ),-,<Blocker> (Rest this Unit to change the attack target to it.),ST02,8,1
Aries,Blue,C +,2,2,UNIT,2,1,Earth,(OZ),-,<Blocker> (Rest this Unit to change the attack target to it.),ST02,8,1
Tragos,Blue,C,1,1,UNIT,1,1,Earth,(OZ),-,<Blocker> (Rest this Unit to change the attack target to it.),ST02,9,1
Tragos,Blue,C +,1,1,UNIT,1,1,Earth,(OZ),-,<Blocker> (Rest this Unit to change the attack target to it.),ST02,9,1
Sinanju,Red,LR,6,5,UNIT,5,4,Space Earth,(Neo Zeon),[Full Frontal],"【During Pair】This Unit gains <High-Maneuver>. (This Unit can't be blocked.) During your turn, when this Unit destroys an enemy shield area card with battle damage, choose 1 enemy Unit. Deal 2 damage to it.",ST03,1,1
Sinanju,Red,LR +,6,5,UNIT,5,4,Space Earth,(Neo Zeon),[Full Frontal],"【During Pair】This Unit gains <High-Maneuver>. (This Unit can't be blocked.) During your turn, when this Unit destroys an enemy shield area card with battle damage, choose 1 enemy Unit. Deal 2 damage to it.",ST03,1,1
Angelo's Geara Zulu,Red,C,4,3,UNIT,3,3,Space Earth,(Neo Zeon),[Angelo Sauper],【Activate･Main】<Support 2> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.),ST03,2,1
Angelo's Geara Zulu,Red,C +,4,3,UNIT,3,3,Space Earth,(Neo Zeon),[Angelo Sauper],【Activate･Main】<Support 2> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.),ST03,2,1
Geara Zulu,Red,C,3,2,UNIT,3,2,Space Earth,(Neo Zeon),(Neo Zeon) Trait,-,ST03,3,1
Geara Zulu,Red,C +,3,2,UNIT,3,2,Space Earth,(Neo Zeon),(Neo Zeon) Trait,-,ST03,3,1
Gaza D (Sleeves),Red,C,2,2,UNIT,2,1,Space Earth,(Neo Zeon),-,【Activate･Main】<Support 2> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.),ST03,4,1
Gaza D (Sleeves),Red,C +,2,2,UNIT,2,1,Space Earth,(Neo Zeon),-,【Activate･Main】<Support 2> (Rest this Unit. 1 other friendly Unit gets AP+(specified amount) during this turn.),ST03,4,1
Dra-C (Sleeves),Red,C,1,1,UNIT,1,2,Space,(Neo Zeon),-,-,ST03,5,1
Dra-C (Sleeves),Red,C +,1,1,UNIT,1,2,Space,(Neo Zeon),-,-,ST03,5,1
Char's Zaku Ⅱ,Green,LR,3,2,UNIT,3,2,Space Earth,(Zeon),[Char Aznable],【Destroyed】Look at the top 3 cards of your deck. You may reveal 1 (Zeon)/(Neo Zeon) Unit card among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck.,ST03,6,1
Char's Zaku Ⅱ,Green,LR +,3,2,UNIT,3,2,Space Earth,(Zeon),[Char Aznable],【Destroyed】Look at the top 3 cards of your deck. You may reveal 1 (Zeon)/(Neo Zeon) Unit card among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck.,ST03,6,1
Zaku Ⅰ,Green,C,1,1,UNIT,1,2,Space Earth,(Zeon),-,-,ST03,7,1
Zaku Ⅰ,Green,C +,1,1,UNIT,1,2,Space Earth,(Zeon),-,-,ST03,7,1
Zaku Ⅱ,Green,C,2,1,UNIT,1,2,Space Earth,(Zeon),-,【Attack】This Unit gets AP+2 during this turn.,ST03,8,1
Zaku Ⅱ,Green,C +,2,1,UNIT,1,2,Space Earth,(Zeon),-,【Attack】This Unit gets AP+2 during this turn.,ST03,8,1
Gouf,Green,C,3,3,UNIT,2,3,Earth,(Zeon),[Ramba Ral],【Deploy】Deploy 1 rested [Zaku Ⅱ]((Zeon)･AP1･HP1) Unit token.,ST03,9,1
Gouf,Green,C +,3,3,UNIT,2,3,Earth,(Zeon),[Ramba Ral],【Deploy】Deploy 1 rested [Zaku Ⅱ]((Zeon)･AP1･HP1) Unit token.,ST03,9,1
Aile Strike Gundam,White,LR,5,4,UNIT,4,4,Space Earth,(Earth Alliance),[Kira Yamato],<Blocker> (Rest this Unit to change the attack target to it.) 【When Paired･Lv.4 or Higher Pilot】Choose 1 enemy Unit with 4 or less HP. Return it to its owner's hand.,ST04,1,1
Aile Strike Gundam,White,LR +,5,4,UNIT,4,4,Space Earth,(Earth Alliance),[Kira Yamato],<Blocker> (Rest this Unit to change the attack target to it.) 【When Paired･Lv.4 or Higher Pilot】Choose 1 enemy Unit with 4 or less HP. Return it to its owner's hand.,ST04,1,1
Strike Gundam,White,C,4,2,UNIT,3,3,Space Earth,(Earth Alliance),[Kira Yamato],"【Deploy】Draw 1. Then, discard 1.",ST04,2,1
Strike Gundam,White,C +,4,2,UNIT,3,3,Space Earth,(Earth Alliance),[Kira Yamato],"【Deploy】Draw 1. Then, discard 1.",ST04,2,1
Moebius Zero,White,C,3,2,UNIT,2,4,Space,(Earth Alliance),[Mu La Flaga],-,ST04,3,1
Moebius Zero,White,C +,3,2,UNIT,2,4,Space,(Earth Alliance),[Mu La Flaga],-,ST04,3,1
Moebius,White,C,1,1,UNIT,1,1,Space,(Earth Alliance),-,<Blocker> (Rest this Unit to change the attack target to it.),ST04,4,1
Moebius,White,C +,1,1,UNIT,1,1,Space,(Earth Alliance),-,<Blocker> (Rest this Unit to change the attack target to it.),ST04,4,1
Strike Dagger,White,C,2,2,UNIT,3,2,Space Earth,(Earth Alliance),-,-,ST04,5,1
Strike Dagger,White,C +,2,2,UNIT,3,2,Space Earth,(Earth Alliance),-,-,ST04,5,1
Aegis Gundam,Red,LR,4,3,UNIT,4,3,Space Earth,(ZAFT),[Athrun Zala],"【Attack】If this Unit has 5 or more AP, choose 1 enemy Unit that is Lv.5 or higher. Deal 3 damage to it.",ST04,6,1
Aegis Gundam,Red,LR +,4,3,UNIT,4,3,Space Earth,(ZAFT),[Athrun Zala],"【Attack】If this Unit has 5 or more AP, choose 1 enemy Unit that is Lv.5 or higher. Deal 3 damage to it.",ST04,6,1
Aegis Gundam (MA Mode),Red,C,4,3,UNIT,3,4,Space Earth,(ZAFT),[Athrun Zala],"<Breach 3> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",ST04,7,1
Aegis Gundam (MA Mode),Red,C +,4,3,UNIT,3,4,Space Earth,(ZAFT),[Athrun Zala],"<Breach 3> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)",ST04,7,1
Ginn,Red,C,2,1,UNIT,2,2,Space Earth,(ZAFT),-,-,ST04,8,1
Ginn,Red,C +,2,1,UNIT,2,2,Space Earth,(ZAFT),-,-,ST04,8,1
Miguel's Ginn,Red,C,2,2,UNIT,3,1,Space Earth,(ZAFT),[Miguel Ayman],"【During Pair】【Destroyed】If you have another Link Unit in play, draw 1.",ST04,9,1
Miguel's Ginn,Red,C +,2,2,UNIT,3,1,Space Earth,(ZAFT),[Miguel Ayman],"【During Pair】【Destroyed】If you have another Link Unit in play, draw 1.",ST04,9,1
Gundam,Blue,LR,4,3,UNIT,3,4,Space Earth,(Earth Federation) (White Base Team),[Amuro Ray],"<Repair 2> (At the end of your turn, this Unit recovers the specified number of HP.) 【During Pair】During your turn, all your Units get AP+1.",ST01,1,β
Gundam,Blue,LR +,4,3,UNIT,3,4,Space Earth,(Earth Federation) (White Base Team),[Amuro Ray],"<Repair 2> (At the end of your turn, this Unit recovers the specified number of HP.) 【During Pair】During your turn, all your Units get AP+1.",ST01,1,β
Gundam (MA Form),Blue,C,5,3,UNIT,4,3,Space,(Earth Federation) (White Base Team),[Amuro Ray],【When Paired･(White Base Team) Pilot】Draw 1.,ST01,2,β
GM,Blue,C,2,1,UNIT,2,2,Space Earth,(Earth Federation),-,-,ST01,5,β
Gundam Aerial (Bit on Form),White,C,4,2,UNIT,3,4,Space Earth,(Academy),[Suletta Mercury],-,ST01,7,β
Demi Trainer,White,C,1,1,UNIT,1,1,Space Earth,(Academy),-,<Blocker> (Rest this Unit to change the attack target to it.),ST01,8,β
Wing Gundam,Green,LR,6,4,UNIT,4,5,Space Earth,(Operation Meteor),[Heero Yuy],"<Breach 5> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to a card in that opponent's shield area.) This Unit may choose an active enemy Unit that is Lv.4 or lower as its attack target.",ST02,1,β
Wing Gundam,Green,LR +,6,4,UNIT,4,5,Space Earth,(Operation Meteor),[Heero Yuy],"<Breach 5> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to a card in that opponent's shield area.) This Unit may choose an active enemy Unit that is Lv.4 or lower as its attack target.",ST02,1,β
Wing Gundam (Bird Mode),Green,C,3,3,UNIT,2,2,Space Earth,(Operation Meteor),[Heero Yuy],【Deploy】Place 1 EX Resource.,ST02,2,β
Maganac,Green,C,2,2,UNIT,3,2,Space Earth,(Maganac Corps),-,-,ST02,5,β
Zaku Ⅰ,Green,C,1,1,UNIT,1,2,Space Earth,(Zeon),-,-,ST03,7,β
Zaku Ⅱ,Green,C,2,1,UNIT,1,2,Space Earth,(Zeon),-,【Attack】This Unit gets AP+2 during this turn.,ST03,8,β
Aile Strike Gundam,White,LR,5,4,UNIT,4,4,Space Earth,(Earth Alliance),[Kira Yamato],<Blocker> (Rest this Unit to change the attack target to it.) 【When Paired･Lv.4 or Higher Pilot】Choose 1 enemy Unit with 4 or less HP. Return it to its owner's hand.,ST04,1,β
Aile Strike Gundam,White,LR +,5,4,UNIT,4,4,Space Earth,(Earth Alliance),[Kira Yamato],<Blocker> (Rest this Unit to change the attack target to it.) 【When Paired･Lv.4 or Higher Pilot】Choose 1 enemy Unit with 4 or less HP. Return it to its owner's hand.,ST04,1,β
Strike Gundam,White,C,4,2,UNIT,3,3,Space Earth,(Earth Alliance),[Kira Yamato],"【Deploy】Draw 1. Then, discard 1.",ST04,2,β
Strike Dagger,White,C,2,2,UNIT,3,2,Space Earth,(Earth Alliance),-,-,ST04,5,β
Guncannon,Blue,R,3,2,UNIT,2,3,Space Earth,(Earth Federation) (White Base Team),(White Base Team) Trait,"<Repair 1> (At the end of your turn, this Unit recovers the specified number of HP.) 【When Paired】Choose 1 enemy Unit with 2 or less HP. Rest it.",GD01,4,β
Guncannon,Blue,R +,3,2,UNIT,2,3,Space Earth,(Earth Federation) (White Base Team),(White Base Team) Trait,"<Repair 1> (At the end of your turn, this Unit recovers the specified number of HP.) 【When Paired】Choose 1 enemy Unit with 2 or less HP. Rest it.",GD01,4,β
Unicorn Gundam (Unicorn Mode),Blue,R,5,4,UNIT,4,3,Space Earth,(Civilian),[Banagher Links],"【During Pair】【Destroyed】If this is a Link Unit, return its paired Pilot to its owner's hand. Then, discard 1.",GD01,5,β
Guntank,Blue,U,2,1,UNIT,1,2,Space Earth,(Earth Federation) (White Base Team),-,【Deploy】Choose 1 rested enemy Unit. Deal 1 damage to it.,GD01,8,β
G-Fighter,Blue,U,3,2,UNIT,3,2,Space Earth,(Earth Federation) (White Base Team),(White Base Team) Trait,【Deploy】Choose 1 of your (White Base Team) Units. It gains <High-Maneuver> during this turn. (This Unit can't be blocked.),GD01,9,β
Loto,Blue,U,2,2,UNIT,2,2,Space Earth,(Earth Federation),(Earth Federation) Trait,-,GD01,11,β
Gundam,Blue,C,4,2,UNIT,3,4,Space Earth,(Earth Federation) (White Base Team),[Amuro Ray],-,GD01,13,β
Ball,Blue,C,1,1,UNIT,1,1,Space,(Earth Federation),-,【Attack】Choose 1 of your Units. It recovers 1 HP.,GD01,15,β
Jegan,Blue,C,3,2,UNIT,2,3,Space Earth,(Earth Federation),-,"While you have 2 or more (Earth Federation) Units in play, this card in your hand gets cost -1.",GD01,16,β
ReZEL,Blue,C,3,2,UNIT,4,3,Space Earth,(Earth Federation),-,-,GD01,18,β
Char's Zaku Ⅱ,Green,R,3,2,UNIT,3,2,Space Earth,(Zeon),[Char Aznable],【During Pair】【Destroyed】Deploy 1 rested [Char's Zaku Ⅱ]((Zeon)･AP3･HP1) Unit token.,GD01,26,β
Char's Zaku Ⅱ,Green,R +,3,2,UNIT,3,2,Space Earth,(Zeon),[Char Aznable],【During Pair】【Destroyed】Deploy 1 rested [Char's Zaku Ⅱ]((Zeon)･AP3･HP1) Unit token.,GD01,26,β
Gundam Sandrock,Green,R,5,3,UNIT,4,4,Earth,(Operation Meteor),[Quatre Raberba Winner],【Deploy】You may deploy 1 (Maganac Corps) Unit card from your hand.,GD01,28,β
Rick Dom,Green,U,3,2,UNIT,3,3,Space,(Zeon),-,"<Breach 2> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to a card in that opponent's shield area.)",GD01,30,β
Gelgoog,Green,U,4,2,UNIT,4,3,Space Earth,(Zeon),(Zeon) Trait,-,GD01,31,β
Gundam Heavyarms,Green,U,4,2,UNIT,3,4,Earth,(Operation Meteor),[Trowa Barton],"【During Pair】This Unit gains <Breach 3>. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to a card in that opponent's shield area.)",GD01,34,β
Wing Gundam,Green,C,5,2,UNIT,4,3,Space Earth,(Operation Meteor),[Heero Yuy],-,GD01,40,β
Shenlong Gundam,Green,C,4,3,UNIT,4,3,Earth,(Operation Meteor),[Chang Wufei],"<Breach 3> (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to a card in that opponent's shield area.)",GD01,41,β
Perfect Strike Gundam,White,R,5,3,UNIT,4,4,Space Earth,(Triple Ship Alliance),(Earth Alliance) Trait,<Blocker> (Rest this Unit to change the attack target to it.) 【Deploy】Choose 1 enemy Unit with 1 HP. Return it to its owner's hand.,GD01,68,β
Gundam Aerial,White,R,5,3,UNIT,3,3,Space Earth,(Academy),[Suletta Mercury],"While there are 4 or more Command cards in your trash, this card in your hand gets cost -2.",GD01,70,β
Gundam Aerial,White,R +,5,3,UNIT,3,3,Space Earth,(Academy),[Suletta Mercury],"While there are 4 or more Command cards in your trash, this card in your hand gets cost -2.",GD01,70,β
Launcher Strike Gundam,White,U,4,3,UNIT,3,4,Space Earth,(Earth Alliance),(Earth Alliance) Trait,<Blocker> (Rest this Unit to change the attack target to it.),GD01,72,β
Darilbalde,White,U,3,2,UNIT,4,2,Space Earth,(Academy),(Academy) Trait,【Deploy】Choose 1 enemy Unit with 1 HP. Return it to its owner's hand.,GD01,75,β
Michaelis,White,U,3,2,UNIT,3,3,Space Earth,(Academy),(Academy) Trait,"While there are 4 or more Command cards in your trash, this Unit gets AP+1 and HP+1.",GD01,76,β
Strike Gundam,White,C,4,2,UNIT,3,4,Space Earth,(Earth Alliance),[Kira Yamato],-,GD01,77,β
M1 Astray,White,C,2,2,UNIT,2,2,Space Earth,(Triple Ship Alliance),-,"While you have another (Triple Ship Alliance) Unit in play, this Unit gets AP+1 and <Blocker>. (Rest this Unit to change the attack target to it.)",GD01,81,β
Wing Gundam (Bird Mode),Green,C,3,3,UNIT,2,2,Space Earth,(Operation Meteor),[Heero Yuy],【Deploy】Place 1 EX Resource.,ST02,2,P
Wing Gundam (Bird Mode),Green,C +,3,3,UNIT,2,2,Space Earth,(Operation Meteor),[Heero Yuy],【Deploy】Place 1 EX Resource.,ST02,2,P
Strike Gundam,White,C,4,2,UNIT,3,3,Space Earth,(Earth Alliance),[Kira Yamato],"【Deploy】Draw 1. Then, discard 1.",ST04,2,P
Unicorn Gundam (Unicorn Mode),Blue,R,5,4,UNIT,4,3,Space Earth,(Civilian),[Banagher Links],"【During Link】【Destroyed】If this is a Link Unit, return its paired Pilot to its owner's hand. Then, discard 1.",GD01,5,P
Gundam,Blue,C,4,2,UNIT,3,4,Space Earth,(Earth Federation) (White Base Team),[Amuro Ray],-,GD01,13,P
Jegan,Blue,C,3,2,UNIT,2,3,Space Earth,(Earth Federation),-,"While you have 2 or more (Earth Federation) Units in play, this card in your hand gets cost -1.",GD01,16,P
Jegan,Blue,C +,3,2,UNIT,2,3,Space Earth,(Earth Federation),-,"While you have 2 or more (Earth Federation) Units in play, this card in your hand gets cost -1.",GD01,16,P
Kshatriya,Red,U,4,2,UNIT,3,4,Space Earth,(Neo Zeon),Trait [Enhanced Human],-,GD01,51,P
Kshatriya,Red,U +,4,2,UNIT,3,4,Space Earth,(Neo Zeon),(Cyber-Newtype) Trait,-,GD01,51,P
Gundam Aerial Rebuild,White,LR,6,5,UNIT,5,4,Space Earth,(Academy),[Suletta Mercury],【When Paired】Choose 1 Command card that is Lv.5 or lower from your trash. Add it to your hand.,GD01,67,P
Gundam Aerial,White,R,5,3,UNIT,3,3,Space Earth,(Academy),[Suletta Mercury],"While there are 4 or more Command cards in your trash, this card in your hand gets cost -2.",GD01,70,P
Gundam Aerial,White,R +,5,3,UNIT,3,3,Space Earth,(Academy),[Suletta Mercury],"While there are 4 or more Command cards in your trash, this card in your hand gets cost -2.",GD01,70,P
Fatum-00,-,C,-,-,UNIT TOKEN,2,2,-,(Triple Ship Alliance),-,<Blocker> (Rest this Unit to change the attack target to it.),T,11,1
Gundam,-,C,-,-,UNIT TOKEN,3,3,-,(White Base Team),-,-,T,1,1
Guncannon,-,C,-,-,UNIT TOKEN,2,2,-,(White Base Team),-,-,T,2,1
